sigma_tot_up52,,sigma_tot_up72,,sigma_HI,,sigma_H2,,vcirc_kam,,vcirc_koch,,sigma_sfr,
r kpc,sigma_tot_up52,r kpc,sigma_tot_up72,r kpc,sigma_HI,r kpc,sigma_H2,r kpc,kms_vcirc_Kam,arcsec_r,kms_vcirc_Koch,r kpc,sigma_sfr
0.237976202,236.6041748,0.237976202,327.6057804,,,,,,,,,,
0.239976002,236.3388775,0.239976002,327.2384457,,,,,,,,,,
0.241975802,236.0738777,0.241975802,326.8715229,,,,,,,,,,
0.243975602,235.809175,0.243975602,326.5050116,,,,,,,,,,
0.245975402,235.5447691,0.245975402,326.1389111,,,,,,,,,,
0.247975202,235.2806597,0.247975202,325.7732212,,,,,,,,,,
0.249975002,235.0168465,0.249975002,325.4079413,,,,,,,,,,
0.251974803,234.753329,0.251974803,325.043071,,,,,,,,,,
0.253974603,234.4901071,0.253974603,324.6786098,,,,,,,,,,
0.255974403,234.2271802,0.255974403,324.3145572,,,,,,,,,,
0.257974203,233.9645482,0.257974203,323.9509129,,,,,,,,,,
0.259974003,233.7022107,0.259974003,323.5876763,,,,,,,,,,
0.261973803,233.4401673,0.261973803,323.224847,,,,,,,,,,
0.263973603,233.1784177,0.263973603,322.8624245,,,,,,,,,,
0.265973403,232.9169616,0.265973403,322.5004084,,,,,,,,,,
0.267973203,232.6557987,0.267973203,322.1387982,,,,,,,,,,
0.269973003,232.3949286,0.269973003,321.7775935,,,,,,,,,,
0.271972803,232.1343511,0.271972803,321.4167938,,,,,,,,,,
0.273972603,231.8740657,0.273972603,321.0563986,,,,,,,,,,
0.275972403,231.6140721,0.275972403,320.6964076,,,,,,,,,,
0.277972203,231.3543701,0.277972203,320.3368202,,,,,,,,,,
0.279972003,231.0949593,0.279972003,319.9776359,,,,,,,,,,
0.281971803,230.8358393,0.281971803,319.6188545,,,,,,,,,,
0.283971603,230.5770099,0.283971603,319.2604753,,,,,,,,,,
0.285971403,230.3184707,0.285971403,318.9024979,,,,,,,,,,
0.287971203,230.0602214,0.287971203,318.544922,,,,,,,,,,
0.289971003,229.8022617,0.289971003,318.187747,,,,,,,,,,
0.291970803,229.5445912,0.291970803,317.8309724,,,,,,,,,,
0.293970603,229.2872096,0.293970603,317.4745979,,,,,,,,,,
0.295970403,229.0301166,0.295970403,317.118623,,,,,,,,,,
0.297970203,228.7733119,0.297970203,316.7630473,,,,,,,,,,
0.299970003,228.5167952,0.299970003,316.4078702,,,,,,,,,,
0.301969803,228.260566,0.301969803,316.0530914,,,,,,,,,,
0.303969603,228.0046242,0.303969603,315.6987104,,,,,,,,,,
0.305969403,227.7489694,0.305969403,315.3447268,,,,,,,,,,
0.307969203,227.4936012,0.307969203,314.9911401,,,,,,,,,,
0.309969003,227.2385193,0.309969003,314.6379498,,,,,,,,,,
0.311968803,226.9837235,0.311968803,314.2851556,,,,,,,,,,
